capital_city,Dutse,Tudun Wada,Kano,Funtua,Birnin Kebbi,Sokoto,Jenyau,Yola,Bauchi,Hausari,Gombe,Jalingo,Damaturu,Chigo,Abuja,Lokoja,Lafia,Bida,Jos,Ado-Ekiti,Ikeja,Abeokuta,Ondo,Ibadan,Umuahia,Awka,Abakaliki,Enugu,Owerri,Uyo,Yenagoa,Calabar,Boji-Boji,Benin City,Port Harcourt,Ilorin,Oshogbo
Gombe,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Jalingo,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Damaturu,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Chigo,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Abuja,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,actual,actual,estimated,estimated
Lokoja,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Lafia,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Bida,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Jos,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,actual,actual,estimated,estimated
Ado-Ekiti,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Ikeja,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Abeokuta,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Ondo,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Ibadan,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,actual,actual,estimated,estimated
Umuahia,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Awka,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Abakaliki,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Enugu,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,actual,actual,estimated,estimated
Owerri,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Uyo,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated,estimated
Yenagoa,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated,estimated
Calabar,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated,estimated
Boji-Boji,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated,estimated,estimated,estimated
Benin City,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,same,actual,estimated,estimated
Port Harcourt,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,actual,estimated,estimated,estimated,actual,estimated,estimated,estimated,estimated,estimated,actual,same,estimated,estimated
Ilorin,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same,estimated
Oshogbo,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,same
